topic_id,page_count,website_count,name,top_words,representative_docs
-1,8261,3241,-1_luxembourg_2017_contact_2016,outliers,""
0,572,356,0_restaurant_50_menu_carte,"restaurant, 50, menu, carte, sauce, 90, 00, salade, cuisine, tomates","* Accueil
  * Menu et Carte
  * La carte des vins
  * Contact & Réservations

Menu

  * Accueil
  * Menu et Carte
  * La carte des vins
  * Contact & Réservations

# Menu et Carte

#  Le menu de la semaine  
  
## Menu entier

29,50  
## Entrée/plat

25,50  
## Entrée seule

8,60  
## Plat/dessert

24,40  
## Plat seul

16,90  
Uniquement le midi du mardi au vendredi  
Coleslaw, sauce à l'ancienne  
ou  
Feuilleté au chèvre et au miel, bouquet de salade  
Suprême de poulet rôti, jus au piquillos...
---
Jump to navigation

  * Menu du jour
  * Suggestions
  * Plats
  * Réservation
  * Le restaurant
  * Contact

### Heures d’ouverture

Mardi - Samedi: 11h30-13h30  
18h30-21h30  
Dimanche: 11h30-13h30  
### Réservations

T. +352 32 01 15  
info@tomate-basilic.lu  
Formulaire en ligne

  * 

## Menus du jour

## 11,00€  

##

La semaine du 21/08/2017

###

##### Mardi:

Cordon bleu pané aux Champignons  
Pommes sautées  
Salade verte

##### Mercredi:

Ragout de Boeuf Bourgignon  
Spaetzle  
Flan d...
---
#  Am Bureck

  * Page d'accueil
  * Carte Restaurant
  * Carte des vins
  * Menu du jour
  * Carte Brasseire
  * Contact

# Menu du jour

  

NÔTRE ÉTABLISSEMENT VOUS PROPOSE :

  * UN ACCUEIL CHALEUREUX.
  * UNE AMBIANCE FAMILIALE.
  * UNE CUISINE SUCCULENTE ET
  * UN SERVICE DE QUALITÉ.
  * 

> ENTRE AMIS, FÊTES D'ENTREPRISES
> D'ANNIVERSAIRE, DE MARIAGE, DE
> BAPTÊME ET COMMUNION, N’HÉSITEZ
> PAS À FAIRE VOS RÉSERVATIONS AU :
3, RUE DE LUXEMBOURG L-8077 BERTRANGE

TEL. 31 46 48 GSM. 661 31 4..."
1,410,335,1_ptac_lourd ptac_poids lourd_lourd,"ptac, lourd ptac, poids lourd, lourd, poids, 12t, ptac 12t, 00, nom, envoyer","# Maison de Beauté ""Am Klouschter""

  * lu
  * de
  * en
  * fr

  * Accueil
  * Présentation
  * Produits & Services
  * Nos nouveautés
  * Contact

  * Accueil
  * Contact

  

## Contact

## Formulaire de contact

Contact

Champs obligatoires

Nom

Prénom

E-mail

Téléphone

Votre demande

Votre message

M'envoyer une copie

Saisissez les caractères qui s'affichent dans l'image

Envoyer

  

  

##  Itinéraire :  Y aller En partir

Véhicules  
Petite voiture Voiture de taille moyenne Routière...
---
#

  * lu
  * de
  * en
  * fr

  * Accueil
  * Présentation
  * Produits & Services
  * JUVILIS
  * Nos soins
    * Peel the difference...
    * Maria Galland
    * Unique Q10
    * Thérapie par lumière pulsée
    * Les mains et les pieds
    * Tout pour le regard
    * Epilation
    * Soin et détente
    * Cryo 21
    * Nos soins
  * Contact

  * Accueil
  * Contact

  

## Contact

## Formulaire de contact

Contact

Champs obligatoires

Nom

Prénom

E-mail

Téléphone

Votre demande

Votre mes...
---
#

  * lu
  * de
  * en
  * fr

  * Accueil
  * Présentation
  * Produits & Services
  * Nos prestations beauté
  * Contact

  * Accueil
  * Contact

  

## Contact

## Formulaire de contact

Contact

Champs obligatoires

Nom

Prénom

E-mail

Téléphone

Votre demande

Votre message

M'envoyer une copie

Saisissez les caractères qui s'affichent dans l'image

Envoyer

  

  

##  Itinéraire :  Y aller En partir

Véhicules  
Petite voiture Voiture de taille moyenne Routière Grande routière Poids lo..."
2,358,260,2_infiniti_2017_00_beki,"infiniti, 2017, 00, beki, adminzibert, eis, kontakt, ornitho, adminzibert 2014, luxembourg","# Librairie Zimmer

  * lu
  * de
  * en
  * fr

  * Accueil
  * Présentation
  * Produits & Services
  * Nos articles
    * Librairie
    * Papeterie
    * Cartes postales
    * Cadeaux, souvenirs
    * Maroquinerie
  * Contact

  * ## Mir plënneren an d'11, rue saint Antoine.
Freet Eech op e frësche Wand an nei Iddien, op e gudde Service an e puer
Iwwerraschungen

  * ## Grousse Choix vun Bicher vum Stock an séieren Bestellservice 
Bestellt äer Bicher och iwer Telefon, Fax an op der Email: lib...
---
Imprimé de lubavitch.lu

Langue: Français

English

Français

Je m'abonne

Je m'abonne

S'abonner à Newsletter

Voir tous les abonnements »

Contact

Accueil

Qui sommes-nous?

Chabad Lubavitch du Luxembourg

L'équipe Le Mouvement Chabad-Lubavitch Chabad Lubavitch du Luxembourg ASBL
Abonnez-vous à notre Newsletter Galeries de photos

Rav Mendel Edelman & sa famille Chabad Lubavitch au Luxembourg Notre vision
Nous contacter  
Le Rabbi Le Ohel Conférence Internationale des Shluchim Mythes & Réalit...
---
Guy Maréchal Tél. +33 6 73 18 91 70

  * Home
  * Présentation
  * Catalogue
  * Contact
  * Catalogue PDF

Catalogue adminzibert 2014-05-09T17:12:57+00:00

  * Tous
  * Dodecagonale
  * Grands plateaux
  * Octogonale
  * Plateaux carrés
  * Plateaux ronds

Lapis symétriques - réf : 220 B3 adminzibert 2014-07-07T11:05:17+00:00

Permalink Gallery

### Lapis symétriques - réf : 220 B3

## Lapis symétriques - réf : 220 B3

adminzibert 2014-07-07T11:05:17+00:00

Lapis symétriques - réf : 220 B3  
Pr..."
3,288,177,3_véhicules_véhicule_citroën_renault,"véhicules, véhicule, citroën, renault, garage, pneus, bmw, voitures, nissan, 900","Register

(+352) 27 99 27 19(+33) 6 16 83 24 94

22, RUE GÉNÉRAL PATTON L-2317 HOWALD, LUXEMBOURG

Recevez nos dernières promos  
       
≡

  * Cars online Accueil
    * Presentation
    * Le Juste Prix
    * Garanties
  * Nos marques disponibles
    * Audi
    * BMW
    * Citroen
    * Dacia
    * Fiat
    * Ford
    * Hyundai
    * Kia
    * Land Rover
    * Mercedes-Benz
    * MINI
    * Opel
    * Peugeot
    * Renault
    * Seat
    * Skoda
    * Toyota
    * Volkswagen
    * Volvo
    * N...
---
Register

(+352) 27 99 27 19(+33) 6 16 83 24 94

22, RUE GÉNÉRAL PATTON L-2317 HOWALD, LUXEMBOURG

Recevez nos dernières promos  
       
≡

  * Cars online Accueil
    * Presentation
    * Le Juste Prix
    * Garanties
  * Nos marques disponibles
    * Audi
    * BMW
    * Citroen
    * Dacia
    * Fiat
    * Ford
    * Hyundai
    * Kia
    * Land Rover
    * Mercedes-Benz
    * MINI
    * Opel
    * Peugeot
    * Renault
    * Seat
    * Skoda
    * Toyota
    * Volkswagen
    * Volvo
    * N...
---
Register

(+352) 27 99 27 19(+33) 6 16 83 24 94

22, RUE GÉNÉRAL PATTON L-2317 HOWALD, LUXEMBOURG

Recevez nos dernières promos  
       
≡

  * Cars online Accueil
    * Presentation
    * Le Juste Prix
    * Garanties
  * Nos marques disponibles
    * Audi
    * BMW
    * Citroen
    * Dacia
    * Fiat
    * Ford
    * Hyundai
    * Kia
    * Land Rover
    * Mercedes-Benz
    * MINI
    * Opel
    * Peugeot
    * Renault
    * Seat
    * Skoda
    * Toyota
    * Volkswagen
    * Volvo
    * N..."
4,243,138,4_crèche_enfants_enfant_activités,"crèche, enfants, enfant, activités, ans, parents, poussette, mois ans, mois, pédagogique","#

  * Accueil
  * Crèche
  * Projet pédagogique
  * Galerie photos
  * News
  * Contact

## Bienvenue Présentation de la crèche

La crèche Bidibul est une structure familiale située à Foetz, dans la zone
artisanale. Au sein d'une maison en bois dotée d'un jardin, elle accueille 57
enfants du lundi au vendredi de 5h à 22h30 et le samedi de 7h30 à 20h.
Soucieuse du bien-être et afin d'assurer l'évolution et l'adaptation de
l'enfant, l'équipe de Bidibul répartit les enfants en 4 groupes d'âges.

 ...
---
* Accueil
  * Bienvenue à tous
  * Projet pédagogique
  * Galeries Photos
  * Vidéo
  * Contact

  * 

  * 

bienvenue-a-tous

## Bienvenue à tous

La crèche « Butzebuerg » a ouvert ses portes en octobre 2011 à Differdange.
Elle accueille des enfants de toute culture, nationalité et classe sociale à
temps plein ou à mi-temps. La crèche prend en charge des enfants entre 2 mois
et 4 ans. Elle est aménagée dans une maison unifamiliale spacieuse et adapté
aux enfants, dans un quartier tranquille pas...
---
# Crèche La Cigogne

  * lu
  * de
  * en
  * fr

  * Accueil
  * Présentation
  * Nos actualités
  * Nos atouts
  * Notre crèche
    * Notre crèche
    * Personnel de la crèche la Cigogne
    * L'accueil de l'enfant à la crèche
    * Horaires de la crèche
    * Activités du bébé de 3 mois à 2 ans
    * Activité de l'enfant de 2 à 4 ans
    * Les repas avec la société Mini Rosell
    * Le jardin de la crèche
    * L'éveil aux langues étrangères
    * Les CHEQUES SERVICES
  * Contact

  * ## Accu..."
5,216,133,5_2017_concert_tickets_2016,"2017, concert, tickets, 2016, 2015, 20, festival, 2014, 2018, 07","* Home
  * Audio Reviews
  * Video Reviews
  * Features & Interviews
  * Kid's Corner
  * ICMA
  * Agenda

  * ### Advertising
  *   *   *   *   * 

## Dmitri Hvorostovsky cancels Vienna

30/06/2017

Russian Opera baritone Dmitri Hvorostovsky has cancelled all his upcoming
performances at the Vienna State Opera for health reasons. Due to his brain
tumour treatment the singer will no longer participate in any opera
productions. In Vienna, the State Opera now has to replace him in the
performances...
---
* Home
  * Audio Reviews
  * Video Reviews
  * Features & Interviews
  * Kid's Corner
  * ICMA
  * Agenda

  * ### Advertising
  *   *   *   *   * 

## Ausschreibungsstart für 'Europäischen SchulmusikPreis' 2018

21/07/2017

Heute beginnt der Ausschreibungsstart für den mit 21.000,-EUR höchstdotierten
Preis für instrumentalen Schulmusikunterricht. Der 'Europäische
SchulmusikPreis' (ESP) würdigt herausragende Leistungen von Lehrern im Bereich
Musikpädagogik und Musikvermittlung an allgemeinbilden...
---
* Home
  * Audio Reviews
  * Video Reviews
  * Features & Interviews
  * Kid's Corner
  * ICMA
  * Agenda

  * ### Advertising
  *   *   *   *   * 

## Ausschreibungsstart für 'Europäischen SchulmusikPreis' 2018

21/07/2017

Heute beginnt der Ausschreibungsstart für den mit 21.000,-EUR höchstdotierten
Preis für instrumentalen Schulmusikunterricht. Der 'Europäische
SchulmusikPreis' (ESP) würdigt herausragende Leistungen von Lehrern im Bereich
Musikpädagogik und Musikvermittlung an allgemeinbilden..."
6,200,79,6_cookies_bmw_accessoires_ds,"cookies, bmw, accessoires, ds, nike, invesco, jobs, voir, adidas, cookie","* Welcome
  * Request an offer
  * Become customer

EN FR DE NL

#  Cookie statement

This Cookie statement applies to the websites http://q8liberty.q8.be,
http://q8liberty.q8.nl and http://q8liberty.q8.lu (hereinafter referred to as
""Website"").  
  
This Website is operated by respectively:

  * Kuwait Petroleum (Belgium) NV, (KPB), a company incorporated under Belgian law, with registered office at Brusselstraat 59, box 1, B- 2018 Antwerp, RLP Antwerp (division Antwerp), VAT BE 0404.584.525   ...
---
* Bienvenue
  * Demandez une offre
  * Devenez client

EN FR DE NL

#  Déclaration de Cookie

Cette Déclaration de cookie s’applique aux sites web http://q8liberty.q8.be,
http://q8liberty.q8.nl et http://q8liberty.q8.lu (ci-après désigné par le «
Site Web »).

Le Site Web est opéré respectivement par :

  * Kuwait Petroleum (Belgium) SA, (KPB), une société anonyme de droit belge, dont le siège social est situé 59 Brusselstraat, boîte 1, à B- 2018 Anvers, RPM Anvers (section Anvers), TVA BE 0404....
---
* Willkommen
  * Angebot beantragen
  * Kunde werden

EN FR DE NL

#  Cookie erklärung

Diese Cookie-Erklärung gilt für die Websites http://q8liberty.q8.be,
http://q8liberty.q8.nl und http://q8liberty.q8.lu (nachfolgend „Website“
genannt).  
  
Die Website wird betrieben von:  
  

  * Kuwait Petroleum (Belgium) NV, (KPB), einer Gesellschaft nach belgischem Recht mit Geschäftssitz in Brusselstraat 59 bus 1, B- 2018 Antwerpen, RPR Antwerpen (Abteilung Antwerpen), USt.-Id.-Nr. BE 0404.584.525  
  ..."
7,199,166,7_luxembourg_352_foyer_caritas,"luxembourg, 352, foyer, caritas, fax, contact, services, service, accueil, rue","* Qui sommes-nous
    * Notre histoire
    * Gouvernance
    * Réseau international
    * Rapport d'activités
  * Financement
  * Offres d'emploi
  * Contact
  * 

  * Besoin d'aide
##### Besoin d'aide

Si vous avez besoin d’aide, vous trouverez ci-après les liens vers les
services de Caritas Luxembourg oeuvrant dans les domaines respectifs. Vous
avez également la possibilité de faire une recherche par localité. Le
personnel des différents services est à votre disposition par téléphone, par
emai...
---
* Qui sommes-nous
    * Notre histoire
    * Gouvernance
    * Réseau international
    * Rapport d'activités
  * Financement
  * Offres d'emploi
  * Contact
  * 

  * Besoin d'aide
##### Besoin d'aide

Si vous avez besoin d’aide, vous trouverez ci-après les liens vers les
services de Caritas Luxembourg oeuvrant dans les domaines respectifs. Vous
avez également la possibilité de faire une recherche par localité. Le
personnel des différents services est à votre disposition par téléphone, par
emai...
---
* Qui sommes-nous
    * Notre histoire
    * Gouvernance
    * Réseau international
    * Rapport d'activités
  * Financement
  * Offres d'emploi
  * Contact
  * 

  * Besoin d'aide
##### Besoin d'aide

Si vous avez besoin d’aide, vous trouverez ci-après les liens vers les
services de Caritas Luxembourg oeuvrant dans les domaines respectifs. Vous
avez également la possibilité de faire une recherche par localité. Le
personnel des différents services est à votre disposition par téléphone, par
emai..."
8,192,95,8_ardennes_ardennen_navigation_beaufort,"ardennes, ardennen, navigation, beaufort, voyages, 2017, echternach, mullerthal, ascenseurs, trail","Close

  * Nature & Hiking 
    * ####  Hiking 
####  Nature Parks

####  Lakes of the Ardennes

####  Natural sites

####  Viewpoints

####  Regional products

Other

Agenda Offers Weather

  * Discover & Explore 
    * ####  Active Ardennes 
####  Culture in the Ardennes

####  Re-energizing Ardennes

####  Creative Ardennes

####  Family holidays in the Ardennes

####  The Ardennes for all

####  Practical information

####  Remembrance tourism

####  Guided tours

####  Shopping

####  What'...
---
Close

  * Nature & Randonnée 
    * ####  Randonnées 
####  Parcs naturels

####  Lacs des Ardennes

####  Sites naturels

####  Points de vue

####  Produits du terroir

Divers

Agenda Offres Météo

  * Découvrir & Explorer 
    * ####  Les Ardennes actives 
####  Les Ardennes culturelles

####  Les Ardennes ressourçantes

####  Les Ardennes créatives

####  Les Ardennes en famille

####  Les Ardennes pour tous

####  Les Ardennes pratiques

####  Tourisme de mémoire

####  Visites guidées

##...
---
Close

  * Nature & Randonnée 
    * ####  Randonnées 
####  Parcs naturels

####  Lacs des Ardennes

####  Sites naturels

####  Points de vue

####  Produits du terroir

Divers

Agenda Offres Météo

  * Découvrir & Explorer 
    * ####  Les Ardennes actives 
####  Les Ardennes culturelles

####  Les Ardennes ressourçantes

####  Les Ardennes créatives

####  Les Ardennes en famille

####  Les Ardennes pour tous

####  Les Ardennes pratiques

####  Tourisme de mémoire

####  Visites guidées

##..."
